timestep,volt,rotate,pressure,vibration,label
1,147.2991029,493.1729109,131.4126515,54.57653568,0
2,149.3906948,425.9102458,135.8148788,46.57387499,0
3,171.6416306,478.9460652,115.0468976,50.58242932,0
4,175.2293331,459.838866,115.2143151,51.8056343,0
5,195.022995,365.0124253,116.7563024,40.25394795,0
6,182.7021045,456.7310703,137.7088582,42.29544894,0
7,190.1065268,312.7255781,114.0447028,42.3986481,0
8,167.8491005,490.9427376,123.2193448,54.65650916,0
9,197.6464021,386.7877551,125.6334928,43.80223814,0
10,159.9305027,469.3531432,118.9115481,45.52573851,0
11,142.1398428,370.7343001,120.6360704,44.77249201,0
12,199.8956462,461.7382591,117.6858445,46.066505,0
13,137.4402041,440.6255647,115.5927314,55.95690887,0
14,182.7494792,510.7445504,131.6644743,44.7891498,0
15,144.1020913,437.1774273,133.0226332,53.53517485,0
16,197.5677545,405.3107494,117.9476094,58.46609247,0
17,160.6075628,406.7480806,130.5334105,58.06686981,0
18,151.0843771,394.6951661,113.5414156,40.18269692,0
19,175.6219385,439.9115738,142.6425184,40.44350359,0
20,162.7378951,340.7172533,129.0398625,50.72367345,0
21,163.9440542,463.5117902,114.0515643,51.96011027,0
22,162.0316453,426.0081831,111.4869996,51.21354474,0
23,172.0056477,445.1902162,138.2088474,56.31962413,0
24,178.8192368,386.6759568,124.0099461,51.02649184,0
25,155.4737613,509.5442862,114.0192733,55.89517408,0
26,186.9807849,577.4667439,149.5565329,71.39815044,1
27,243.556279,528.6790428,162.190674,58.83456066,1
28,186.5849991,505.5202409,153.5539457,65.24015113,1
29,248.1797072,448.2219589,148.9064105,56.24702568,1
30,203.1022446,540.723341,148.3197004,75.31481142,1
31,217.0789468,444.6313376,157.3314753,49.63421299,1
32,208.3290562,598.6973085,156.9513403,56.82615236,1
33,221.1067724,586.5179467,156.2645564,72.98177115,1
34,215.2743021,545.3234745,133.3733592,60.84674812,1
35,191.9870573,629.9270522,172.6163296,62.53033561,1
